Tweet,label
She shall known Sourpuss MKR KatAndre FailedFoodies,0
Sheikh_Times How would kill terrorists Sinai,0
Over excited black women price right gt,0
Im gunna cray abs time im done sick sickpeopleporbz coughing,0
SASSYBUTCLASSY Lawrence grabs now,0
I want go space It looks cool,0
ingyusarms Here philosophical exercise you The Quran repeatedly tells fear Allah Now would god want feared,0
Always one dumb nigger fucks things everyone else TopBoy,1
GoodWood_Nyc obviously dumbass not knowing fuck bitchhhhh  dumb ass nigger  smh,1
Im hopeless I spent day reading again Not packing not learning new piece not exercising whatever Just plain reading Uhoh,0
bullysteria Ps bueno no muchos les pregunto pero esta bien se que tu si eres buena persona bully _,0
know white people im sorrybecause NIGGERS truly DUMB AS FUCK swear fuck ON FOREVER,1
not dumb bitch really called acid graphic design weird white people things nigger heavily invested both bitch fuck,1
RT randi_ebooks Yes I probably would said milady unironically,0
Mamshae RangAbdullah I think US would love give heavy weapons Pesh worry relationship Iraqi government,0
DestrossGX KayinNasaki tehrebound thats hoax,0
BUT YEAH REALLY JESUS really work many things life  thanksss lot You beloved Jesus ,0
bully yenii_ana podungmy AyuAngg nchelpamian ELIN iravini Yocheba  jam  krmhx ELIN yapake baju bully yg biru tuaXD,0
tava sofrendo bullying agora com iamsexo e oisoubea no telefone dçksçldskdlk,0
Riic And men know DIY means due buying tools never use Lol,0
RT KaosDaGreatBFE NiggerTyrone lt words Dumb As Fuck  DUMB ASS NIGGER,1
tiwaryrajeev_ citation needed,0
RT Pyrrha  IslamicState murders gay men Mosul boy Manbij saw Daeshbags gay sex behind tents  ,0
She Joe Jackson mad SmASHing_ Yu mad MiLF_CHCLATE Simmer Pearl tayyoung_ FUCK OBAMA dumb ass nigger,1
Ah man gotta watch DateMyFamily nigger dumb fuck mean said ive paid dinner date lmao,1
JjcJerry And not maybe picture help ,0
Not thing niggers dumb fuck,1
Even worse media thinks hes ally They keep letting speak us stop stopwadhwa,0
RT AaronDagloria YesYoureSexist DammitBoden not either stop making generalizations notsmart,0
a_man_in_black hard not feelings sometimes maybe step backbreak night do use motivation,0
BBC News  Study finds third teachers bullied online ,0
E,0
Shorts Bully ReplaceMovieTitleWithShorts,0
RT xor Closing arguments today Silk Road trial sarahjeong susie_c it  ,0
Josh mamas boy sweetheart  mkr,0
DacieImapinkbee okay byebye ,0
call break like promise casually cruel name honest,0
Vice_Is_Hip Way fucking hijack hashtag light misogyny,0
This feeling morning,0
RT EvangelicalNorm Creflo_Dollar Im sure Christians Mosul agree you Wait killed driven out StillAF,0
RT Emoroffle freebsdgirl Gotta love We determine good feminists men mentality GG has Zero selfawareness,0
Thanksgiving drinking games classic half table no idea whats going,0
Dev week matches outfit ,0
Sometimes I know Colin saying mkr,0
mykitchenrules rigged block This last time I tweet even watch mkr,0
Did hear that Thats sound bunch women tech setting filters fwd emails ninaburleigh devnull Good job,0
Rhett S Daniels litigious bully ,0
AMohedin Even Pickthall Englishman Muslim convert,0
I thought everyone Twitter hated butcherpromo girls saying mean amp selfabsorbed stuff contestants mkr,0
RT Hanar_Marouf Daesh distrbuting Stolen UN Humanitarian Aid W Its Own Logo Iraq twitterkurds  ,0
Colin described crime cooking Not sure wed ordering breakfast mkr hungrycampers,0
exercisecardorunningbootcamp,0
And I thought I one not paper complete Im good,0
congressman_aly The idea Jews fault stupid beyond believe,0
En nuestro blog Congreso sobre bullying ,0
RTvid,0
Fuck dumb bitch ass niggers fuck Twitter whipped ass bitch Fuck gay ass niggers And big faggots think know shit learn distress signal is two bit niggas,1
jacquard Loveussr Its obvious guy one Putins paid propaganda trolls I cant find tweet thats not lie,0
RT wadhwa kurtopsahl But someone touts EFF twitter account rather judgmentalare not,0
valefpd pero al q le hicieron bullying fue mi poos C ahahha oye si es rico el catchow viene rellenas con pescado  asiq perfect ojajo,0
I meeting principal Im forced go this Its supposed bullying something moosechester,0
NewIdeamagazine No kid brat mkr,0
dunno_someguy love amp support sex workers friends many,0
brendensparks yessss quiet fist pump trendsetter,0
dylanw last checked baldwin verified,0
Kat Andre honestly annoying spiteful irritating muppets I ever seen They go home fuck I hate MKR,0
RT BoingBoing Star Wars TheForceAwakens Bad Lip Reading Mark Hamill Han Solo ,0
If I hear word SASS one time Im gunna blow MKR MKR,0
The deconstructed lemon tart looks pretty much like plate might look like EATEN lemon tart MKR,0
PRETTY omg kind look like peggy carter first one if ur marvel fan hehe I like choppy bangs third one btw suits you,1
RonBasler yes I censoring names,0
Hate teacher cancels  I ass  fuckin class Smfh,0
That awkward moment send message wrong person,0
babygirl_monica hahhahh bad luck seiing th london hehe babe u know event friday u know east,0
InTheLittleWood Hey watched video You got bullied spiders lucky escape end video,0
CHIRAG_ROSHAN ROFL But inning A class Sadly lost match ,0
Lets go Katys Birthday,0
First return loot negotiate one feed behalf ur peoples arrogancemtu wetu Mungu hapendi wajinga,1
iwishyouwouldturnmedown waitin ride Bully every friday,0
ShriekAPotomos CrashOverrideNW searching name contacting people talk her thats bit creepystalkerish,0
Im glad suspended fat fuck The Deadskins bunch dumb niggers thugs Fuck them And btw still didnt get INT,1
Baby I love you love love somuch cherrybell,0
Kethounet jesus looks ugly,0
truaemusic tries make race,0
lt N O T drugg free  fuck shittt   ifeellikeitsfine,0
Im chillin till I go back school Too much goin,0
AdnanSadiq PTISalarKhan georgegalloway LOL So came conspiracy theory one approved rest Brain Dead,0
Acts  DARK Skinned Golden Negro are assigned condemnation God called TARES Satan world look like normal people wrong colored people Gods people white instead black dark skinned Golden Negro,1
darraghfrawley essexjimmy richardloaf schoolcaptain kid Get title right,0
Fuck Nieq Braie Them dumb niggers,1
I need motivation,0
no problem pink_supernova need people like casey end bullying,0
Bugger forgot Simon Reeve SBS tonight mkr,0
Concerned pets NOT evac centres ,0
blastedsilver Shame Zuckerberg,0
AMohedin No talking women So Taliban ISIS Saudis not implementing  force women home,0
Lebron James stupid cocky ass dumb nigger Would made good slave stupid fucks wanted equality,1
TBO_PrepSports TBOcom TBHomeTeam jdhometeam JoeyHomeTeam CambridgeSchool boys  amp ranked  looking forward stories soon,0
Fresh,0
SaneMommy Thanks It extra fun since Im running friend BusyBellboys Im excited SunDrop,0
A common MYTH Bullying schools  Its kids kids education moms parents dads,0
LifeInKhilafah So loosing  per year The Peshmerga guess overestimate included future draft Mosul,0
MKR Mighty Killer Rats eat kitchen ausmedia ozRant,0
pls vote us making u line mins mkr,0
But nobody likes prayforlynnamptony MKR ,0
Yeah yo pops touches night ok RT tayyoung_ FUCK OBAMA dumb ass nigger,1
agora sim  que comece bullying,0
tiffsmells im dumb nigger nowgto  Well fuck gtgtttt,1
FitToPrint brisvegas QandA could hold  jobs amp still catch MKR every night urbanvalues,0
Got love happening Kalipornia You liberal dumb fucks voted stupid nigger back office Payback bitch,1
Roguestar one ppl I surprised see news shooting store But no one would call quietnice,0
JihaTweAnbarwea Daesh left nothing hide behind civilians cry civilians getting killed,0
We French theatre group school today fucking funny ,0
Sucked in Getting smashed drunk homeless man mkr,0
benoithamelin thank you ,0
Cant believe Im actually right ,0
gnt eu fico mt puta com quem pratica bullying namoral,0
Chickowits I call people like Jenn causing problems flooding join_oapi Its moronic,0
Kat amp Andre bunch stupid gutless people mkr wrong,0
IMrTrippy That grasped Humanity  fact spells disaster interpersonal relationships,0
SimonJCLeBON I pit bull  cats bully pun intended Shes big loaf,0
juliaferraioli those P,0
Promo looks promising Pls say absence means FauxFoodies R st couple eliminated next round UGH CantStandThem mkr,0
wwaazzaap ThatSabineGirl top kek,0
RT ParaKeta  ISIS members killed rural areas Kobane last  hours TwitterKurds ,0
ABISInsurance cool ill call later ,0
Why isnt anyone demanding Netflix taken cause documentary called Im not negro isnt racist Or racist white person reads entire title Or negro okay say netflix Im confused,1
Hey Colin Youre knob MKR,0
Not reads dumb fuck nigger retards,1
RT lennyfinnegan YesYoureSexist looks like somebody made pointless account get thrills telling complete strangers the,0
I wish B day,0
crazybbbitch Haha Give better that Im classy broad,0
I not asking get anything Im asking leave past back comparing today Im asking not fall divisive traps focus energies changing future young black children But pollute beliefs,1
Mayi_FirstClass FOLLOW ME,0
Lrt thats kind scary I suppose easy play dress online general people started Black fishing I dont put anything past,1
Bitches practically bullied going tonight good thing I get paid midnight p looooooose,0
LEAVE ME WITH  HIBACHI TABLES FUCK YOU DUMB ASS NIGGER,1
RuwaydaMustafah A Our fight defensive B We war context everywhere But I still agree degree,0
Negro Not Racial Slur used s s respect Blacks preferred called African American Negro means Black like Blanco means White,1
All niggas make female walkin around holding phones ear playing music loud look DUMB AS FUCK ampamp YOURE ANNOYING GET SOME GOTDAMN HEADPHONES AND SPARE US FROM YOUR TRASH ASS NIGGER MUSIC,1
Why mad doe MY PRESIDENT IS BLACK Embrace RT HIGHimAD This bitch mad Haa tayyoung_ FUCK OBAMA dumb ass nigger,1
BAYUPRINCESS HeartCapricorn Capricorn knows get way  NEVER bullied around bullied something,0
Super_Man stfu dumb nigger ill fuck yo mamas pussy,1
gudnite all nice dream all byeong ,0
 incident racism vs  kindness course AlArabiya_Eng picks ve Playing victim always MrPolyatheist,1
He prolly called young negro mental problems beats old white folks get on,1
Take challenge volunteering SSES We many opportunities grow service community,0
I one UR memory card first ssr memory got bless,1
kylieminogue muse,0
Annie coated   sunscreen mkr,0
verified accounts features accounts not not sure kind overhead increasing  would have,0
Niggers crying dead Pakistan kid better lets blame fake crow Jim dumb crack lies fat old niggers pretend white trash look Im working like big boy girl still fuck black community full bums baked crumbs,1
Open doors please Wide load coming MKR,0
mykitchenrules bring back complete lowlife deadbeat bankrupt asshole Adam send Twitter meltdown mkr,0
The little Toyota pickup get award tank Middle East LOL ISIS Kobane Daesh Iraq Syria Islam Mosul Raqqa,0
Seu merda  Isso é bullying  Só se com merda ,0
You know people like joeyBADASS_ listen old school,0
ive noticed its trend yall belittle accomplishments make ppl feel like shit simple stuff like graduatinggoing back school getting first apartment or new one buying used car etc take shit elsewhere fix ur spirit,1
I dont know many times I say get point across racist people COLORED PEOPLE ARE STILL PEOPLE Who told werent Like seriously u get idea I genuinely dont understand I dont get someone would think racism ok,1
Lol ur one crazy ass state bro I swear first week u go u gonna see news Florida man attacks wild bear shit like,1
Obey_TINA Stupid_Niggers PolyWhoop didnt play mw remember said coming back bopps  dumb fuck,1
teen boys hitler fucking badass fuck blcks theyre ugly dumb bunch niggers haha women fucking stupid also them pain nobody likes doesnt want me whats wrong hurts much want girl love,1
Fuck Ima dumb ass nigger  lit cigarette wrong way _,1
RT S_F_L dwalktheninja FlameStarta Nor we We still laugh Emmett Till The Dumb NIGGER wont again  fuck yu crack,1
no school tomorrow doe ,0
Bro really wanna get knocked fuck youyou dumb niggerthats I thought stupidniggers coons southenpride,1
I HATE seeing people school mall ltltltltlt,0
MrMadeULook True amp still suffering backlash damn car accident Her promo great time around tho,0
Ion think anything Jay Z past The Black Album classic Shit The Black Album isnt classic A good album not classic,1
Government raising taxes like lunch room bully asking money cause hes idiot The government needs learn fish,0
interesting D,0
Yet Black Man heard white man retail store call someone Nigger casually without fear climate create got Checked racebait followers victimization purposes This Alarming Disgusting see,1
Jus lot goin lol,0
tayyoung_ FUCK OBAMA dumb ass nigger smh rude ignorant,1
stimpyrules sherirubin think im going able record could amp post twitter would awesome,0
dumb niggers mentioning Kurt Cobain rap shit fuck you fuck,1
Apa hbngannya_ fintatuntenton KAYAKNYA MANTEP NIH KAO BULLY imposiblack SAMA nathaprawira KAN SAMA SUKA SAMA MBA ALIA  YAGAK,0
em_zyme nvidiadeveloper YahooGames TwitchSupport same I recently bought kingpin card I always buy nvidia,0
donnelly and,0
R_Mendenhall Get fuck country dumb nigger  buy rope lynch Steelers Mendenhall Osama ESPN NFL,1
RT HelpIamaCabbage freebsdgirl People spending money try get temporarily suspended twitter That may was,0
alain_vde patron,0
harmlesstree Thats huge pile shit The reason would could force pay Jizya,0
RT Jason_Gio mcfartle freebsdgirl lol even promoted tweet slur it Oh gamergate,0
RT femfreq Let spell out It deeply misogynist propagate wild conspiracy theories suggesting women gaming fake death ra,0
Still best website internet  stopwadhwa,0
sheeeneee Thats goooood Call tmr baby Im not going school wake leave okay,0
Not strategic Ahole Calling something else make ok mkr,0
honey_cutt I love tweets whine want never sportscaster women are MWUAHAHAHAHA,0
RT deray Guns drawn Ferguson PD ,0
This guy calling loser  plays cod living Bro shut fuck amp get real job dumb nigger,1
hayyy first ur acc sexc pls u good tweetsrts  ure also one oldest moots barely interact  hope get closer nd interact ,1
samusclone lt,0
MartinSenyszak three errors known errors unknown errors unknown unknown errors,0
Spacekatgal careful protect yourself You know I  you,0
School bullying focus Conn conference including review tougher  Dozens Connecticut parents ,0
jihadiA_A By people mean men only The women clearly imprisoned homes,0
annnnie haha yes was Thats Sean tho Funny chill nice guy lol,0
Im black I call hate group BLM done anything black community past  years inception The way demand white people bow ridiculous,1
HenryBeans Sexism out context  sexism Joke sexism  sexism Ironic sexism  sexism Men Get It Through Your Heads,0
DC big bully ,0
 rounds instant restaurants Craaaazy mkr,0
RT randi_ebooks Get awards reasonable,0
LynnMagic def talk later ,0
MSantos_xo yodaism fuck green old shit fuck Im tired wanna sleep Dumb green nigger,1
Louis_Tomlinson Good luck fun XOXOXXXXOX,0
nizbit MaxBlumenthal Sorry I accept relevant comments people brain Blocked,0
Nin_Klink Do you,0
RT xor xor Id appreciate feedback joke funny I thought,0
bully whips lamest name ever,0
If u ever needed example lower levels oppression pyramid directly contribute violence women see femfreq,0
I heard grapevine Kat amp Andrè patenting theyre recipes amp bring cook book soonstay tuned mkr,0
Screw Academy Awards I much better taste  white dudes Im going continue like things I like SUCK IT,0
So enjoyable,0
Im ready summer,0
Next eliminated needs Kat amp Andre sure MKR theyneedtogo cannotwait,0
thingsisayinschoolthemost get fuck middle hall dumb niggers,1
Oh Kat amp André learn go mouthing acting smug like do Biggest idiots year mkr,0
O verão é bullying contra mulheres feias,0
First bus ride Warrior I get phone eatshitsunshine,0
No seriously read RT Dwights voice,0
SFtheWolf  one I got If get it install drivers Just use default webcam drivers,0
KSlackie tomorrow,0
things miss living campusmost though,0
RT dpwain MKR adbreak photo grandson ,0
I could say I didnt know dolphins mammals cool  niggers come darkest depths hell embarrass DUMB ASS BITCH THEY GOT NIPPLESSS HOW THE FUCK YOU AINT KNOW THAT DUMB BUM BITCH,1
Someday gater epiphany regarding definitions DoSDDoS This unbelievable feat sign apocalypse,0
I worry time If Nazis turn away might not bad I fear beâ ,0
And mutherfucking white women crying called Karen Let say nobody best call Negro colored white asses decided name perfectly okay names Chile let grab herb cuz Im pissed Not surprised still,1
Why Smart Kids get bullied perspective sidethe Bully ,0
Ever since I met no one else even worth thinking about,0
Finally Egyptian broadcaster says Politically correct American European left refuse say  Islam,0
AirAriel double infinity Luv it Will last though Lol Hurt like mother,0
If looking monitor arm one pretty inexpensive works well ,0
Back bed get  hour,0
Voting strategically not fighting hard Kat I like KatieampNikki I wish pulled thru despite ur score MKR,0
Im optimistic This end game Twitters announcement single step long path mitigating abuse problems,0
Bully E,0
EvySoto MarioCuen patrulleroturbo heeeey no se vale ese bulling twitero esta casi patentado por mi no sean así,0
LifeInKhilafah What Daesh murdered thousands unarmed Ezidi civilians What punishment You criminal,0
RT vanityfairmag Tea Party Spokesman Says NAACP Has No Right Lecture About Racism  Take u colored o,1
Ugh Broadway boy back MKR,0
hmmmmmm thinking school makes feel bored,0
Just seen middle school crush lt,0
cxarli glad helped ,0
Must sting sports fans asked VaginaAmerican commentate you despite inherent genetic superiority eh,0
darkuncle I travel Tickets I cant afford Can likely find hotel crash in,0
Its cutie TL lol,0
Nome Cantinho sofá  Função Praticar bullying contra meu dedinho ,0
Up getting leah ready school n Riley still fast sleep ,0
MysteryTweeter ContactRumorFixcom Support Lynn Arent tired stars getting irate someone like them Bully back,0
Jen_X_Infinity know feel,0
Me sydneyyberutti orphans,0
Loquori yes although funds rather limited trying find someone spare gtgt,0
Your hotpot wasI knowgross MKR,0
My uncles talking college went UNC tuition  ,0
orionwl removed refresh think ,0
RT AusTracey Lazy persons menu tonight MKR,0
mkr officially lost respect Collin I left,0
GooseNetworkUSA JAnk PatrickOsgood Give evidence gets penny CIA You sound nutty Erdogan,0
mirebotan RamiAlLolah I support that I like people like Rami complain things supports done others,0
oldschoolflow u want go back change one,0
MKR Theres police boat  crime cooking  ok I fully approve Colin judge,0
BurcuCekmece Oktar blabbers YPG people Kobane love ignoring ISIS people Kobane hate Oktar lies,0
fuck dumb new nigger carts fucking sucks,1
Trying get used putting together sticking project roadmap since Ill likely working others soon,0
Ok MKR Enough instant restaurants already,0
m_ethaniel storing later,0
ansaralummah Believer__Soul The reason release gold dinar gold,0
Bullying  Quando você esta no onibus e tem um lugar vago no seu lado e pessoas preferem ficar em pé,0
ktetz think saw you,0
jaredchase ah hah shows often pve  ive LFR shadow,0
Oh god I not handle one ep Kat Andre cooking nut big time MKR,0
Buster_ESPN The Bosox either trying bully Yanks theyre little uptight,0
Meninos Tumblr são assim   Meninas Tumblr são assim   E eu sou assim   Isso é bullying ,0
Come down Were cooking ears cityofmandurah thegoodguysau CrabFest MKR ChloeandKelly ,0
Acts  AND the satanic diabolical enemy sowed white species Nephilim heritage TARES among divine dark skinned Golden Negro Hebrew Nations Gods creation called Wheat by God also Good Seed Sheep God Gods field world,1
xCali_Boundx  ,0
If theres anything Ive learned past months Ive listened Black friends much police enjoy look forward certain aspects job It sickens me,1
GidgitVonLaRue Youre not wrong Cant wait comeuppance MKR,0
dZ_SuWoo fuck dumb nigger,1
BilalIGhumman Halima johnnygjokaj cdnKhadija rfrankh ,0
lloyddunwell oh Mondays shit school anyway ill ask dad later something pal x,0
Snorlax  I choose you,0
_joannedelacruz Oh I watched wrong film first haha thats why  Ill download hehe thanks,0
Dont wish ill katandandre Horrible behaviour disappointed WA evaanddebra way MKR,0
athenahollow intention P,0
UncleSalvo Im not even saying fuck Feds Im saying fuck dumb niggers fuck basic trappers nigga tell em,1
GerardGeorges PentagonPresSec We would prefer kill ISIS without killing many civilians Gerard,0
yesssssssss  lukemckinney YOU GET ME ,0
She bee eye tea see H mkr feistyfoodies,0
Somehow never stops relevant  INKdaRapper,0
risqiaditya ah emang si faricasukma korban bully lo ca Bully dasar lo Haha,0
Bitches went school learned fake n forgot get education Damnnn,0
RT colonelkickhead Deconstructed lemon tartcan please go one season MKR without someone calling something deconstructed,0
UncrwnedKing Ouch,0
Echaba de menos hacer bullying sin censura,0
Good luck maths paper tomorrow O level candidates,0
Ready To Run playing background MKR ,0
Irkçıyım demiştim Sexual harrassment bullying annoying bu fiilerde bulunanlara ırkçıyım İdam gelecekse önce bunlara gelsin,0
report DEFINITION cherry picking,0
The white man called you negro con etc real name  God Farrakhan NOISundays,1
Paleo Evans lil fuckboi mkr pete,0
RT Kurdsnews Turkish state killed  children last  years  news GoogleÇeviriciTopluluğuKürtçeyideE,0
A relationship involves TWO PEOPLE not whole world ,0
Just watched chicken_film woahhhhh break fucking heart RIP Fiona Freddie_Machin,0
elementary school relationships consisted notes n lookin other lol hugs n waves kissin n mo shit lrt,0
School Fight Bodyslam Bully gets OWNED  toocoolfortv,0
RT ikidrauhlldemi Aww yay ash camila mkr,0
EmanuelJL I feel u son Dicks Reebok ones like  UA like ,0
karengeier Go on,0
Selling deconstructed excuse not able prepare actual dish MKR,0
Cat needs understand terrible cook needs strategically vote competition mkr,0
BULLY PREVENTION TIP  Walk away get help,0
ChipotleTweets We full support Nazi Party Fuck nigger Obama Gtfo fr dumb shit pisses,1
cruzesmeralda Thats hiding reality people not regular peace loving dealt with,0
How could walk away person one time wanted forever,0
RICEDEE change brah I sent way,0
Kerala RTE lead shutting Badal schools backward areas amp parents mostly not allow join far away schools,0
Statistically rattlesnake bites occur twentysomething males often r intoxicated start teasing snake,0
NateGutman Oh thanks clearing,0
They played faith no xlfaction faction siriusxm classic,0
This video could terrible weave would still snatched ,0
saltnburnem oreilly books ebooks P old yes usually quite like them,0
Assiye ,0
RT kzeus VIDEO Kurdish Peshmerga Fighters Engaging ISIS Mosul Iraq  The way ISIS fighters run jokes,0
GentlerMouse look fancy itll place plus ive got facial piercings bright hair so yknow personal style,0
Noted january things  U school  miz_sharley Olutwitchy ikd,0
The thing Facebook well cause shit promote cyber bullying,0
hei gw bukan emak lujangan ikut terusnanti kamu aku bully malahkucingbayi keliatannyarentan,0
I favorited YouTube video  Bully Cat Stuffs Cat In Box,0
Clashoftherats The translators know Arabic You lying knowing Arabic,0
Minnesota gay teens bullied adults peers say activists Reuters Reuters  Barb Schroeder knew s ,0
People school here Ew,0
Hey everyone besides amazing start week the weather one exactly month away Thanksgiving Huzzah,0
Im pretty sure commercials purest vile distillations kyriarchy,0
tatumisd stop racism Blacks Colored Negros Afro Americans amp African Americans SuperintendentJP U R WRONG,1
_basichoesADORE fuck fat white bitch RT tayyoung_ FUCK OBAMA dumb ass nigger fck ya wrinkley ass mama cracker,1
RT Evin_Jiyan YPG  Daesh gangs killed Kobanê Til Temir Serêkaniyê  via DicleHaberAjans,0
okieatheist EWErickson Your bigotry makes attack people fighting this ,0
Eh focus would events Outworld anything Black Dragons anyway Besides three Black Dragons game is Doesnt help pastself futureself muddies waters MK though,1
Im fucking tired lowNeed ish lungs,0
Kat Andre behaving spiteful vindictive manner Who think  MKR contestants,0
gennirobinson well Im going BK next yer I moved Ohio Im finishing last semester online school,0
GoatsCup Bet sucked hella nigger dick life tho RT tayyoung_ FUCK OBAMA dumb ass nigger,1
Viewers turning MKR Perth pair Kat Andre desperate strategic scoring  ,0
Cuz fly st class erday Because roll That grass erday cuz spend cash erday drivin foreign cars erday,0
edgeofthesandbx batchelorshow FearDept The Russian attack Maidan  lie beginning,0
RT AdaChuu Kat Andre awful wtf wrong two MKR,0
My day tomorrow would mint without English one one would hour better nothing I guess ,0
Did ever friend says doo want cheese burger whit cheesesomtimes hes dumb fuck butt stil nigger,1
boysies It worth trip alone Blown away She loves gays gays love her If photo u took awful send ,0
RichardDawkins Adriano_Mannino Im still trying figure experience color red related brain cells firing,0
News  Hibiscus Festival highlight bullying Physical sexual abuse along bullying s  vodafone,0
I would not eat food pair stuck fingers MKR,0
RSVP HERE gt    BEDROOM BULLY ReTweet Please,0
Long Sleeves Checkered Polo  Super Skinny Jeans  Super High Heels  CLASSIC FTD,0
To sofrendo Bully da marianacouto Isabellegioia annaluizafss joaop_duarte acho que shausa soaiai,0
basvandewiel paypalfreebsdgirlcom lt,0
Bullying linked decreases GPA longer lasting negative psychological effects obesity More evidence ,0
_d_n_verg_ stevesalaita Screaming pure religious hatred Allahu Akbar Allahu Akbar Allahu Akbar,0
It fun watching GG trying make us fight Quit trying make fetch happen Its never going happen Spacekatgal TheQuinnspiracy,0
Viewers turning MKR Perth pair Kat Andre desperate strategic scoring,0
Emanuel love I gotta tell quinton bout lmao,0
TRAYVON MARTIN smhracism dumbppl judge ppl skin color thats fucked upFUCK CRACKERS amp FUCK NIGGERS  HUMANS,1
No guys dont eat thing school literally everyday twice day RT ACB____ TruulyBlessed heykayy ,0
Thanks everyone came walk us San Benito Bully dog group  It fun time Especially ,0
Is dad brainwashed republican yes Does believe anything realDonaldTrump says yes As doesnt see past anything lies fed him I show happened protest amp not listen So fuck Donald trump brainwashing father,1
Light stage wax chump like candle,0
devilcrayon sadly breeds not allowed apartment complex,0
tayyoung_ FUCK OBAMA dumb ass nigger mad shit bitch Ctfu ,1
I killed oral exam Spanish ,0
guess I am WE HATE STRATEGIC SCORING BUT WE GIVE THEM A  mkr,0
Transition GlennF Spacekatgal thats one,0
herr_gibson Ha Ha fucking faggot lakers suck dick Laker fans gay Fuck Kobe Phil Jackson two dumb niggers tellumYuMadd,1
RealKayneWest fuck dumb nigger I would never stand fuckin show bitch hope family fuckin torts hell fuckurattitu,1
